Account	Hardfork Balance	Current Balance
0x92f85fd3c09b7b113d0893898cf3eb3ece7aa63f	6877.25641	0
0xd3a1fa59022968617bb670186ce1f4f53bf727dd	6778	4958.243199
0x84110a51beb30e3b9860351cdad5b3465d07ec95	6707.958769	0
0xf8dc689228f10dc8843da8fbe541c887e746af62	6540.909043	0
0x217c6b6091496057bf755af80fff0617241f7b35	6525.98	4773.885504
0x859c9d70483606d0d89c339dc68d990a59b323d7	6479.26	4739.708886
0x2733eb1b5abda710ccf367abb1e2443096b10661	6465.48498	4729.632182
0xb0d32bd7e4e695b7b01aa3d0416f80557dba9903	6299.99	4608.569278
0x33496e641dbb4835354c602d7fff45719ac8f7f7	6290	0
0x5b5d8c8eed6c85ac215661de026676823faa0a0c	6163.70798	0
0x45d803c38f1bf8ca9cf2154f66a3e4ee4ad1a44c	6150	783.1897835
0x3b1a840f80ecbc04edb1941ae2268e51c8d9eada	6113.18	0
0xfaa6fc150fafc187eb13cb5ba0d069e5e7cd77c0	6001	0
0x3d1a5d3109b114a575bea0978ab1611f796b9008	6000.638653	0
0x3212ece4a8375d1ebd48b5e0d971997e16bff24d	6000	0
0xb49fcc6ac06a760c115e9766df26ca5a8b43023a	6000	0
0x8bcbccfc6736c61fdbe6791453564ef432241b53	6000	0
0x2590126870e0bde8a663ab040a72a5573d8d41c2	5808.107092	739.6504286
0x81556db27349ab8b27004944ed50a46e941a0f5f	5797.296685	0
0xeed9d864e0944e65e04d9e9e70d3c78ffc0b268a	5768.998518	1884.661728
0x0a46328c507316fa5c68507ebc6486407aaba0f9	5713.188518	727.5627445
0xf5fa5fb92871cce27d011d787349966181d9d53d	5621.95802	0
0xd4ee4919fb37f2bb970c3fff54aaf1f3dda6c03f	5582	0
0x5ef932d67a405de07198b10c5251d7a5a73d2508	5501	0
0x2650ec3095dedcf221aaa3a84dedd25165772a7f	5499.9997	0
0x4afccfce50fb07bd0dca88e7054585bcd3f2f2c1	5449.1	0
0xd297abe9d62b1a6e5cc74737738598cf533fd9db	5440.221667	3979.631466
0xb72d994117cae9b3663efcffe2812645226f06c1	5397.97	3948.723523
0x245f27796a44d7e3d30654ed62850ff09ee85656	5251.79063	0
0x71d149141329ed4cb2ec30a572e7496c7f4dff4d	5125.01	0
0x38da1ba2de9e2c954b092dd9d81204fd016ba016	5108.299997	3736.824095
0xb05ff8cfd76b2698ba8d1b06b218ab6da2f362e2	5032.545475	0
0xd03fc165576aaed525e5502c8e140f8b2e869639	5010	3664.915672
0x9a24ce8d485cc4c86e49deb39022f92c7430e67e	5005	0
0xa7ebc1edeefba0af22bbaca1479413c21325eee4	5005	0
0x2c18fc0483318425fe165b54f65231aa0cc2ff8b	5002	0
0x8c1a53155cffbc7ac8ce4e9d648d2dab7dd940b2	5002	0
0xf8ccc7e7b76ad3af3c01143b3de405dae3ac4a26	5001	0
0x47e25df8822538a8596b28c637896b4d143c351d	5001	3658.331991
0x96c19e05c58c610dab13a57a7fcece2729f1056f	5001	0
0xfe6b511f7f251f70dc1fce37cfa7d5faf7321ebc	5000.24	0
0xc4e30303a4490e670da9fb5274bb49776d969322	5000.013978	0
0x127098a224700da22c353d2e24e7b0a85f42e4e9	5000.0098	0
0xed5f88cb1d4341306e011e38f753e1d2cf850614	5000.005575	3657.604549
0x35f47b150f2c7fd246ed3816849c6587b88f9cb1	5000	3657.600471
0x81b0e1ac46a7dfed98187796d0e55ac64b01f60c	5000	0
0x0329483fd85bb2853835faf57eda6365e5f2b329	5000	3657.600471
0x682897bc4f8e89029120fcffb787c01a93e64184	5000	0
0x4ddda7586b2237b053a7f3289cf460dc57d37a09	5000	0
0xf92a248de9e3e62bcee3e7d9fa60bfe9a6b49f99	5000	0
0x88a0a05437262a1b65f41a978cb16cb1f0bfcfe0	5000	636.7396613
